City_ID,City,Max Temp,Description,Lat,Lng,Hotel Name
208,Saint-Claude,71.26,broken clouds,46.5,5.8333,la berlie du jura
209,Havelock,86.05,clear sky,34.8791,-76.9013,Sherwood Motel
210,Back Mountain,82.29,scattered clouds,41.3359,-75.9963,Country Club Apartments
212,Chabahar,84.02,scattered clouds,25.2919,60.643,هتل گدروشیا
213,Harper,78.13,overcast clouds,4.375,-7.7169,Screensaver
214,Standerton,44.62,clear sky,-26.9337,29.2415,Terrace Lofts
215,Mmabatho,45.81,clear sky,-25.85,25.6333,Mahikeng Guest Apartments
216,Maragogi,78.66,few clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
217,Douentza,85.23,broken clouds,14.9951,-2.9517,Ogomono Doumbo
218,Tricase,82.56,clear sky,39.9304,18.3553,Hotel Adriatico
219,Linhares,79.72,clear sky,-19.3911,-40.0722,Hotel Conceição
220,Gedo,53.13,light rain,9.0167,37.45,Mida Qanyi
222,Khuldabad,71.89,overcast clouds,20.05,75.1833,Capital O 29643 Etranger Resort
223,Olafsvik,50.61,moderate rain,64.8945,-23.7142,Hotel Olafsvik
224,Gobabis,52.56,clear sky,-22.45,18.9667,Goba Lodge
225,Bhind,92.71,broken clouds,26.5642,78.7883,Hotel Kanha Palace and Family Restaurant
226,Highland Springs,87.15,broken clouds,37.546,-77.3278,Homewood Suites by Hilton Richmond - Airport
227,Gouyave,79.59,overcast clouds,12.1646,-61.7296,Rumboat Retreat
228,Oromocto,79.25,scattered clouds,45.8351,-66.4792,Days Inn by Wyndham Oromocto Conference Centre
230,Panaba,95.59,scattered clouds,21.2833,-88.2667,Posada rosario
231,Bandarbeyla,77.77,overcast clouds,9.4942,50.8122,JABIR HOTEL
232,Kitob,91.98,clear sky,39.0843,66.8332,KESH HOTEL
233,Muscat,94.62,broken clouds,23.6139,58.5922,Mutrah Hotel
235,Caetite,77.29,broken clouds,-14.0694,-42.475,Hotel Porto do Sol
236,Lamu,77.22,clear sky,-2.2717,40.902,Lamu House
237,Laguna,94.44,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
238,Outjo,61.72,clear sky,-20.1167,16.15,Kai-Oms Backpackers Lodge
239,Vardo,46.18,overcast clouds,70.3705,31.1107,Vardø Hotel AS
240,Uusikaupunki,72.12,scattered clouds,60.8004,21.4084,Hotel Aquarius
241,Careiro Da Varzea,88.43,light rain,-3.2003,-59.8119,POUSADA DA ALDENORA
244,Aquiraz,89.22,scattered clouds,-3.9014,-38.3911,Pousada Rua Camurupim
245,Faranah,75.15,light rain,10.0404,-10.7434,Chez mon oncle
246,Santa Cruz Cabralia,77.23,scattered clouds,-16.2781,-39.0247,Portobali Hotel
247,Mao,86.56,clear sky,39.8885,4.2658,ARTIEM Capri
248,Guiratinga,89.37,clear sky,-16.3494,-53.7583,Hotel Angra do Cerrado - Guiratinga MT
249,Hamilton,86.76,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
250,Hobyo,78.49,overcast clouds,5.3505,48.5268,Halane Hotel and Restaurent
251,Matay,92.26,clear sky,28.419,30.7792,Nag Aespen
252,Nynashamn,78.1,overcast clouds,58.9034,17.9479,Nynäs Havsbad
253,Puri,87.39,overcast clouds,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
255,Turayf,87.15,clear sky,31.6725,38.6637,Turaif
256,Roald,77.16,overcast clouds,62.5833,6.1333,Flem Cabins
257,Buta,76.8,overcast clouds,2.7858,24.73,HOTEL BISO NA BISO
258,Westport,85.6,clear sky,41.1415,-73.3579,The Westport Inn
259,Bin Qirdan,89.56,clear sky,33.1378,11.2197,Hôtel Palace
260,Kigorobya,73.47,overcast clouds,1.6162,31.3089,Palace guest house kigorobya
261,Le Port,71.56,light rain,-20.9373,55.2919,KORBEY D'OR OUEST
262,Soto,72.88,overcast clouds,-32.8107,-61.4026,Hotel Verdesole
263,Ewo,88.3,overcast clouds,-0.8725,14.8206,Residence Elonda Ewo
264,Trelew,51.53,overcast clouds,-43.249,-65.3051,Hotel Touring Club
265,Saldanha,57.27,clear sky,-33.0117,17.9442,Blue Bay Lodge
266,Port Blair,82.36,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
267,Chamba,79.93,overcast clouds,32.5667,76.1333,NotOnMap - Rafi's House
268,Watsa,65.68,light rain,3.0372,29.5355,Hôtel Le Pacifique
269,Rio Gallegos,44.65,clear sky,-51.6226,-69.2181,Hotel Santa Cruz
270,Los Angeles,89.71,haze,34.0522,-118.2437,Kawada Hotel
271,Dolzhanskaya,77.92,clear sky,46.6311,37.8039,"Park-hotel ""Ryba-Kit"""
273,Lumberton,89.22,clear sky,34.6182,-79.0086,"Country Inn & Suites by Radisson, Lumberton, NC"
274,Onega,52.97,overcast clouds,63.9061,38.1404,Lunny Kot Guest House
275,Nicoya,80.15,overcast clouds,10.1483,-85.452,Guayacan Real
276,Salacgriva,66.4,scattered clouds,57.7536,24.3581,Kapteiņu Osta
277,Hun,92.97,clear sky,29.1268,15.9477,Alrwasi Hotel
278,Dzilam Gonzalez,90.7,overcast clouds,21.2833,-88.9333,posadas
279,Petropavlovskoye,65.21,scattered clouds,52.0712,84.107,Zarya Hotel
280,Wadi Musa,75.67,clear sky,30.3222,35.4793,Petra Palace Hotel
281,Nizhniy Odes,45.88,broken clouds,63.6445,54.856,Gostinitsa Uyut
282,San Cristobal,83.95,overcast clouds,7.7669,-72.225,Posada Villaven C.A.
283,Cabedelo,83.07,clear sky,-6.9811,-34.8339,Hotel Pigalle
284,Abha,68.4,overcast clouds,18.2164,42.5053,Abha Hotel
285,Hualmay,67.15,scattered clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
287,Oussouye,84.0,overcast clouds,12.485,-16.5469,Auberge du Routard
288,Henties Bay,64.87,clear sky,-22.116,14.2845,Fishermans Guest House
289,Havre-Saint-Pierre,60.57,broken clouds,50.2334,-63.5986,Auberge Niapiskau
290,Bay Roberts,68.5,light rain,47.5999,-53.2648,Stonewall Inn
291,Chapada Dos Guimaraes,85.66,clear sky,-15.4606,-55.7497,Pousada Morro Dos Ventos
292,San Pedro,80.15,overcast clouds,14.35,121.0167,Villa Veronica Resort Private Pool
