City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Manvi,IN,2021-07-23 00:47:22,15.9833,77.05,73.54,83,100,17.67
68,Geraldton,AU,2021-07-23 00:41:14,-28.7667,114.6,55.81,94,90,1.14
69,Cam Ranh,VN,2021-07-23 00:47:23,11.9214,109.1591,85.96,58,75,1.14
70,Lawrenceburg,US,2021-07-23 00:47:23,38.0373,-84.8966,75.85,85,13,4.45
71,Bilma,NE,2021-07-23 00:40:22,18.6853,12.9164,83.05,58,100,13.06
72,Khandyga,RU,2021-07-23 00:47:24,62.6667,135.6,74.97,56,99,0.27
73,Dingle,PH,2021-07-23 00:41:33,10.9995,122.6711,82.83,78,100,19.24
74,Hermanus,ZA,2021-07-23 00:40:13,-34.4187,19.2345,44.91,73,68,9.75
75,Boma,GH,2021-07-23 00:47:24,7.0805,-2.1697,69.24,98,64,3.62
76,Litovko,RU,2021-07-23 00:47:25,49.2361,135.1742,90.59,51,100,5.84
77,Bluff,NZ,2021-07-23 00:40:06,-46.6,168.3333,49.8,65,78,11.23
78,Arraial Do Cabo,BR,2021-07-23 00:40:06,-22.9661,-42.0278,57.16,100,20,0.0
79,Puerto Colombia,CO,2021-07-23 00:47:25,10.9878,-74.9547,80.69,86,56,28.12
80,Mar Del Plata,AR,2021-07-23 00:39:54,-38.0023,-57.5575,57.0,57,0,10.0
81,Port Augusta,AU,2021-07-23 00:40:26,-32.5,137.7667,51.94,85,100,6.87
82,Denpasar,ID,2021-07-23 00:41:05,-8.65,115.2167,80.26,83,20,11.5
83,Vardo,NO,2021-07-23 00:41:29,70.3705,31.1107,45.34,81,100,31.32
84,Yabelo,ET,2021-07-23 00:47:26,4.8833,38.0833,59.72,68,43,6.11
85,Buala,SB,2021-07-23 00:47:27,-8.145,159.5921,84.18,72,26,7.43
86,Barrow,US,2021-07-23 00:37:54,71.2906,-156.7887,39.22,81,90,13.8
87,Sakakah,SA,2021-07-23 00:41:08,29.9697,40.2064,87.37,24,0,10.22
88,Grand Gaube,MU,2021-07-23 00:40:01,-20.0064,57.6608,70.2,70,15,5.99
89,Illapel,CL,2021-07-23 00:47:27,-31.6308,-71.1653,58.44,61,100,1.92
90,Carnarvon,AU,2021-07-23 00:40:50,-24.8667,113.6333,59.07,75,99,5.75
91,Paramirim,BR,2021-07-23 00:47:28,-13.4425,-42.2389,66.63,71,0,7.67
92,Gimli,CA,2021-07-23 00:47:28,50.6336,-96.9907,85.42,83,1,4.61
93,Ayan,RU,2021-07-23 00:41:57,56.45,138.1667,69.82,63,10,7.02
94,Kavieng,PG,2021-07-23 00:41:01,-2.5744,150.7967,83.57,74,69,12.19
95,Lagoa,PT,2021-07-23 00:41:45,39.05,-27.9833,67.69,77,19,11.18
96,Hamilton,US,2021-07-23 00:42:12,39.1834,-84.5333,77.23,66,1,4.61
97,Okhotsk,RU,2021-07-23 00:42:00,59.3833,143.3,58.39,88,100,4.21
98,Okha,RU,2021-07-23 00:47:29,53.5739,142.9478,72.59,69,23,4.47
99,Lagos,NG,2021-07-23 00:46:32,6.5833,3.75,77.32,82,100,6.58
100,Farmington,US,2021-07-23 00:47:30,36.7281,-108.2187,92.08,22,1,5.75
101,Oktyabrskiy,RU,2021-07-23 00:42:10,54.4815,53.471,54.61,95,100,1.07
102,Fortuna,US,2021-07-23 00:40:46,40.5982,-124.1573,64.85,65,20,17.27
103,Maarianhamina,AX,2021-07-23 00:47:30,60.0973,19.9348,57.06,77,0,5.75
104,Egvekinot,RU,2021-07-23 00:43:44,66.3167,-179.1667,45.9,70,59,5.17
105,Nabire,ID,2021-07-23 00:47:31,-3.3667,135.4833,75.76,92,100,3.71
106,Mwinilunga,ZM,2021-07-23 00:47:31,-11.7358,24.4293,54.39,43,3,6.22
107,Balkanabat,TM,2021-07-23 00:47:31,39.5108,54.3671,90.19,16,18,7.87
108,Kruisfontein,ZA,2021-07-23 00:41:53,-34.0033,24.7314,43.88,78,100,5.86
109,Gretna,US,2021-07-23 00:45:12,29.9147,-90.054,89.65,72,40,1.01
110,Jinchang,CN,2021-07-23 00:47:32,38.4953,102.1739,80.35,44,17,4.41
111,Cabo San Lucas,MX,2021-07-23 00:40:57,22.8909,-109.9124,99.52,68,0,10.11
112,Clyde River,CA,2021-07-23 00:39:49,70.4692,-68.5914,37.63,100,90,8.05
113,Krasnoselkup,RU,2021-07-23 00:43:16,65.7,82.4667,63.27,72,93,3.13
114,Baykit,RU,2021-07-23 00:40:33,61.67,96.37,68.95,57,72,1.57
115,Zalesovo,RU,2021-07-23 00:47:33,53.9939,84.7431,66.0,72,100,4.43
116,Vestmanna,FO,2021-07-23 00:47:33,62.1564,-7.1664,47.32,100,20,1.14
117,Maceio,BR,2021-07-23 00:40:15,-9.6658,-35.7353,74.64,83,40,3.44
118,Huarmey,PE,2021-07-23 00:41:07,-10.0681,-78.1522,64.54,84,17,8.61
119,Guiren,CN,2021-07-23 00:47:34,33.6697,118.1889,80.98,82,100,13.09
120,Salamiyah,SY,2021-07-23 00:47:34,35.0113,37.0532,71.56,81,0,8.61
121,Monrovia,LR,2021-07-23 00:41:42,6.3005,-10.7969,76.95,81,100,11.1
